id,DOI,no,type,title,authors,journal,year,date,volume,issue,firstPage,lastPage,abstract,globalCitationsCount,localInDegree,localOutDegree,referencesCount,localIncomingCitations,localOutgoingCitations,references
W2901140358,10.3390/IJGI7110448,84,article,Toward Model-Generated Household Listing in Low- and Middle-Income Countries Using Deep Learning,"Rob Chew, Kasey Jones, Jennifer Unangst, James Cajka, Justine Allpress, Safaa Amer, Karol Krotki",ISPRS international journal of geo-information (Multidisciplinary Digital Publishing Institute),2018,16/11/2018,7,11,448,448,"While governments, researchers, and NGOs are exploring ways to leverage big data sources for sustainable development, household surveys are still a critical source of information for dozens of the 232 indicators for the Sustainable Development Goals (SDGs) in low- and middle-income countries (LMICs). Though some countries’ statistical agencies maintain databases of persons or households for sampling, conducting household surveys in LMICs is complicated due to incomplete, outdated, or inaccurate sampling frames. As a means to develop or update household listings in LMICs, this paper explores the use of machine learning models to detect and enumerate building structures directly from satellite imagery in the Kaduna state of Nigeria. Specifically, an object detection model was used to identify and locate buildings in satellite images. In the test set, the model attained a mean average precision (mAP) of 0.48 for detecting structures, with relatively higher values in areas with lower building density (mAP = 0.65). Furthermore, when model predictions were compared against recent household listings from fieldwork in Nigeria, the predictions showed high correlation with household coverage (Pearson = 0.70; Spearman = 0.81). With the need to produce comparable, scalable SDG indicators, this case study explores the feasibility and challenges of using object detection models to help develop timely enumerated household lists in LMICs.",7,,,24,,,"W1980871951, W2012838735, W2031489346, W2098676252, W2102581597, W2108770903, W2151501062, W2165698076, W2166610853, W2219497594, W2347064614, W2513506629, W2532691318, W2567960042, W2615604151, W2746325398, W2770820547, W2782522152, W2801461883, W2808512426, W2884815430, W2887850625, W3103856189, W3105409087"
W2906577416,10.1080/17538947.2018.1548656,789,article,Enhanced data and methods for improving open and free global population grids: putting ‘leaving no one behind’ into practice,"Sérgio Freire, Marcello Schiavina, Aneta J. Florczyk, Kytt MacManus, Martino Pesaresi, Christina Corbane, Olena Borkovska, Jane Mills, Linda Pistolesi, John R. Squires, Richard Sliuzas",International journal of digital earth (Taylor & Francis),2018,23/12/2018,13,1,61,77,"Data on global population distribution are a strategic resource currently in high demand in an age of new Development Agendas that call for universal inclusiveness of people. However, quality, detail, and age of census data varies significantly by country and suffers from shortcomings that propagate to derived population grids and their applications. In this work, the improved capabilities of recent remote sensing-derived global settlement data to detect and mitigate major discrepancies with census data is explored. Open layers mapping built-up presence were used to revise census units deemed as ‘unpopulated’ and to harmonize population distribution along coastlines. Automated procedures to detect and mitigate these anomalies, while minimizing changes to census geometry, preserving the regional distribution of population, and the overall counts were developed, tested, and applied. The two procedures employed for the detection of deficiencies in global census data obtained high rates of true positives, after verification and validation. Results also show that the targeted anomalies were significantly mitigated and are encouraging for further uses of free and open geospatial data derived from remote sensing in complementing and improving conventional sources of fundamental population statistics.",58,3,2,25,"W3013702075, W3108189576, W4220857402","W2790440883, W2804550333","W1481186935, W1494131642, W1527710572, W1536340909, W1987779391, W1996577847, W2013787966, W2028813093, W2051796655, W2057442840, W2066586311, W2081556835, W2108789728, W2138315818, W2171326738, W2181914484, W2573681795, W2577906094, W2763014865, W2774117082, W2790440883, W2804550333, W4230669716, W4285719527, W4391048313"
W2791428980,10.1016/J.TOURMAN.2018.02.020,598,article,Analysing spatiotemporal patterns of tourism in Europe at high-resolution with conventional and big data sources,"Filipe Batista e Silva, Mario Alberto Marín Herrera, Konštantín Rosina, Ricardo Barranco, Sérgio Freire, Marcello Schiavina",Tourism management (Elsevier BV),2018,01/10/2018,68,,101,115,"Available statistics on tourism from official European sources are limited in terms of both the spatial and temporal resolutions, curbing potential analyses and applications relevant for tourism management and policy. In this study, we produced a novel, complete and consistent dataset describing tourist density at high spatial resolution with monthly breakdown for the whole of the European Union. This is achieved thanks to the integration of data from conventional statistical sources with big data from emerging sources, namely two major online booking services containing the precise location and capacity of tourism accommodation establishments. The produced dataset allowed us to uncover key spatiotemporal patterns of tourism in Europe at unprecedented detail, showcasing the usefulness of complementing official statistical data with emerging big data sources.",145,,,25,,,"W1123179804, W1124052577, W1491291135, W1609508549, W1974271511, W1983142620, W2030939726, W2081516178, W2084296691, W2090925362, W2091168767, W2135848672, W2255898387, W2260583155, W2489816779, W2570411435, W2581172437, W2587728836, W2587749919, W2737088977, W312783604, W4232116384, W4241846548, W4255310978, W4285464984"
W2804550333,10.3390/RS10050768,42,article,Unveiling 25 Years of Planetary Urbanization with Remote Sensing: Perspectives from the Global Human Settlement Layer,"Michele Melchiorri, Aneta J. Florczyk, Sérgio Freire, Marcello Schiavina, Martino Pesaresi, Thomas Kemper",Remote sensing (Multidisciplinary Digital Publishing Institute),2018,16/05/2018,10,5,768,768,"In the last few decades the magnitude and impacts of planetary urban transformations have become increasingly evident to scientists and policymakers. The ability to understand these processes remained limited in terms of territorial scope and comparative capacity for a long time: data availability and harmonization were among the main constraints. Contemporary technological assets, such as remote sensing and machine learning, allow for analyzing global changes in the settlement process with unprecedented detail. The Global Human Settlement Layer (GHSL) project set out to produce detailed datasets to analyze and monitor the spatial footprint of human settlements and their population, which are key indicators for the global policy commitments of the 2030 Development Agenda. In the GHSL, Earth Observation plays a key role in the detection of built-up areas from the Landsat imagery upon which population distribution is modelled. The combination of remote sensing imagery and population modelling allows for generating globally consistent and detailed information about the spatial distribution of built-up areas and population. The GHSL data facilitate a multi-temporal analysis of human settlements with global coverage. The results presented in this article focus on the patterns of development of built-up areas, population and settlements. The article reports about the present status of global urbanization (2015) and its evolution since 1990 by applying to the GHSL the Degree of Urbanisation definition of the European Commission Directorate General for Regional and Urban Policy (DG-Regio) and the Statistical Office of the European Communities (EUROSTAT). The analysis portrays urbanization dynamics at a regional level and per country income classes to show disparities and inequalities. This study analyzes how the 6.1 billion urban dwellers are distributed worldwide. Results show the degree of global urbanization (which reached 85% in 2015), the more than 100 countries in which urbanization has increased between 1990 and 2015, and the tens of countries in which urbanization is today above the global average and where urbanization grows the fastest. The paper sheds light on the key role of urban areas for development, on the patterns of urban development across the regions of the world and on the role of a new generation of data to advance urbanization theory and reporting.",136,9,,31,"W2906577416, W2898575527, W2956102956, W3108189576, W3133681308, W4220857402, W4224266468, W3215688738, W4311777063",,"W103239796, W1527710572, W1970706309, W1991145689, W2001510610, W2006929658, W2015620132, W2017568810, W2051721130, W2051796655, W2102566458, W2117737507, W2141409967, W2162632039, W2165443402, W2170694538, W2181914484, W2263055960, W2376136095, W2418543604, W2587518584, W2590030991, W2604903218, W2763014865, W2769059842, W2775720766, W2800769515, W3150806421, W4205547540, W4238510746, W4376595762"
W2833286549,10.1080/01431161.2018.1490974,741,article,Mapping coastal marine habitats and delineating the deep limits of the Neptune’s seagrass meadows using very high resolution Earth observation data,"Dimitris Poursanidis, Konstantinos Topouzelis, Nektarios Chrysoulakis",International journal of remote sensing (Taylor & Francis),2018,05/07/2018,39,23,8670,8687,"Seagrass meadows are one of the most important coastal habitats across the globe. These are mainly constituted by the marine plants of the genus Posidonia and Thalassia. In the Mediterranean Sea, Posidonia oceanica is the dominant endemic plant that affects physical, biogeochemical, and biological processes. The decline in the spatial distribution has been attributed to excessive anthropic pressures and other large-scale environmental changes. The monitoring of the spatial distribution requires an update and accurate seagrass meadows delineation, i.e. meadow edge marking with a replicable method. The present study aims to present an approach to support the coastal marine habitat mapping, under the scheme of the Natura 2000 network using very high resolution Earth observation data and to prove that satellite images can be used for the mapping of the deep limits of the seagrass meadows. Pixel-based classification and object-oriented image analysis have been implemented for the image classification. Pixel-based Support Vector Machines and object-based Nearest Neighbor classifiers provided the best results with an overall accuracy of more than 90%, while deep limits have been successfully identified and separated from the deep waters.",44,,,32,,,"W1601511579, W1978617972, W1989709497, W1990093476, W1998312005, W2028704854, W2048270893, W2056482671, W2066208539, W2069142162, W2070022366, W2084288780, W2085427282, W2086141774, W2094881545, W2097012093, W2097179086, W2107301689, W2152686492, W2157569756, W2173392629, W2270845284, W2271110629, W2322140623, W2337354571, W2429318187, W2531262202, W2732932856, W2766521946, W375578695, W564405294, W956432429"
W2793029461,10.1016/J.ISPRSJPRS.2018.02.012,268,article,Slavery from Space: Demonstrating the role for satellite remote sensing to inform evidence-based action related to UN SDG number 8,"Doreen S. Boyd, Bethany Jackson, Jessica Wardlaw, Giles M. Foody, Stuart Marsh, Kevin Bales",ISPRS journal of photogrammetry and remote sensing (Elsevier BV),2018,01/08/2018,142,,380,388,"The most recent Global Slavery Index estimates that there are 40.3 million people enslaved globally. The UN’s Agenda 2030 for Sustainable Development Goal number 8, section 8.7 specifically refers to the issue of forced labour: ending modern slavery and human trafficking, including child labour, in all forms by 2025. Although there is a global political commitment to ending slavery, one of the biggest barriers to doing so is having reliable and timely, spatially explicit and scalable data on slavery activity. The lack of these data compromises evidence-based action and policy formulation. Thus, to meet the challenge of ending modern slavery new and innovative approaches, with an emphasis on efficient use of resources (including financial) are needed. This paper demonstrates the fundamental role of remote sensing as a source of evidence. We provide an estimate of the number of brick kilns across the ‘Brick Belt’ that runs across south Asia. This is important because these brick kilns are known sites of modern-day slavery. This paper reports the first rigorous estimate of the number of brick kilns present and does so using a robust method that can be easily adopted by key agencies for evidence-based action (i.e. NGOs, etc.) and is based on freely available and accessible remotely sensed data. From this estimate we can not only calculate the scale of the slavery problem in the Brick Belt, but also calculate the impact of slavery beyond that of the enslaved people themselves, on, for example, environmental change and impacts on ecosystem services – this links to other Sustainable Development Goals. As the process of achieving key Sustainable Development Goal targets will show, there are global benefits to ending slavery - this will mean a better world for everyone: safer, greener, more prosperous, and more equal. This is termed here a Freedom Dividend.",66,6,,33,"W2913040484, W3062193874, W3035260243, W3162442290, W3156169082, W3119438583",,"W1637921522, W1680917889, W1878224059, W1894564341, W1968545881, W1977345771, W1997797850, W2015544772, W2023971456, W2034470056, W2042770909, W2060335617, W2063375773, W2275061906, W2308318555, W2513025346, W2513506629, W2523311857, W2599857737, W2603422184, W2606990765, W2613223956, W2613349105, W2616288859, W2624779149, W2725897987, W2783264548, W2802666814, W3102725001, W4247661017, W585356963, W602671975, W612940226"
W2766517162,10.1016/J.RSE.2017.09.024,497,article,Census-independent population mapping in northern Nigeria,"Eric Weber, Vincent Seaman, Richard C. Stewart, Tomas J. Bird, Andrew J. Tatem, Jacob McKee, Budhendra Bhaduri, Jessica Moehl, Andrew Reith",Remote sensing of environment (Elsevier BV),2018,01/01/2018,204,,786,798,"Although remote sensing has long been used to aid in the estimation of population, it has usually been in the context of spatial disaggregation of national census data, with the census counts serving both as observational data for specifying models and as constraints on model outputs. Here we present a framework for estimating populations from the bottom up, entirely independently of national census data, a critical need in areas without recent and reliable census data. To make observations of population density, we replace national census data with a microcensus, in which we enumerate population for a sample of small areas within the states of Kano and Kaduna in northern Nigeria. Using supervised texture-based classifiers with very high resolution satellite imagery, we produce a binary map of human settlement at 8-meter resolution across the two states and then a more refined classification consisting of 7 residential types and 1 non-residential type. Using the residential types and a model linking them to the population density observations, we produce population estimates across the two states in a gridded raster format, at approximately 90-meter resolution. We also demonstrate a simulation framework for capturing uncertainty and presenting estimates as prediction intervals for any region of interest of any size and composition within the study region. Used in concert with previously published demographic estimates, our population estimates allowed for predictions of the population under 5 in ten administrative wards that fit strongly with reference data collected during polio vaccination campaigns.",77,2,,33,"W2790440883, W3119152506",,"W1481186935, W1543116876, W1603679155, W1957403495, W1960749344, W1968433516, W1976228171, W1991145689, W2005744645, W2016956963, W2022835328, W2044465660, W2047987216, W2051142949, W2057442840, W2059195846, W2077462153, W2082547933, W2086819892, W2117881999, W2131438174, W2141376824, W2144157522, W2151103935, W2157163776, W2181914484, W2264709743, W2289932808, W2329472555, W2334059378, W2343510121, W2582264034, W2620689612"
W2898870209,10.1080/22797254.2018.1535838,805,article,"Image based classification of slums, built-up and non-built-up areas in Kalyan and Bangalore, India","Elena Ranguelova, Berend Weel, Deblina Roy, Monika Kuffer, Karin Pfeffer, Michael Lees",European journal of remote sensing (Taylor & Francis),2018,03/11/2018,52,sup1,40,61,"Slums, characterized by sub-standard housing conditions, are a common in fast growing Asian cities. However, reliable and up-to-date information on their locations and development dynamics is scarce. Despite numerous studies, the task of delineating slum areas remains a challenge and no general agreement exists about the most suitable method for detecting or assessing detection performance. In this paper, standard computer vision methods – Bag of Visual Words framework and Speeded-Up Robust Features have been applied for image-based classification of slum and non-slum areas in Kalyan and Bangalore, India, using very high resolution RGB images. To delineate slum areas, image segmentation is performed as pixel-level classification for three classes: Slums, Built-up and Non-Built-up. For each of the three classes, image tiles were randomly selected using ground truth observations. A multi-class support vector machine classifier has been trained on 80% of the tiles and the remaining 20% were used for testing. The final image segmentation has been obtained by classification of every 10th pixel followed by a majority filtering assigning classes to all remaining pixels. The results demonstrate the ability of the method to map slums with very different visual characteristics in two very different Indian cities.",22,2,,35,"W3186869931, W3199881080",,"W1520537497, W1565050238, W1824774525, W1995029758, W2001123951, W2029314279, W2067654461, W2075818603, W2108022477, W2119605622, W2123496851, W2145970940, W2161177328, W2162909892, W2166516660, W2168809519, W2172000360, W2186132424, W2338897872, W2404611670, W2516854745, W2550960173, W2588173298, W2597507805, W2599875878, W2602780979, W2606251026, W2765165894, W2776928912, W2784210701, W2790418319, W2792491666, W2883343535, W3123945902, W3165617577"
W2782653131,10.1080/10106049.2018.1425737,846,article,Assessment of various parameters on 3D semantic object-based point cloud labelling on urban LiDAR dataset,"Anandakumar M. Ramiya, ‪Rama Rao Nidamanuri, K. K. Ramakrishnan",Geocarto international (Taylor & Francis),2018,29/01/2018,34,8,817,838,"Semantic labelling of LiDAR point cloud is critical for effective utilization of 3D points in numerous applications. 3D segmentation, incorporation of ancillary data, feature extraction and classification are the key stages in object-based point cloud labelling. The choice of algorithms and tuning parameters adopted in these stages has substantial impact on the quality of results from object-based point cloud labelling. This paper critically evaluates the performance of object-based point cloud labelling as a function of different 3D segmentation approaches, incorporation of spectral data and computational complexity of the point cloud. The designed experiments are implemented on the datasets provided by the ISPRS and the results are independently validated by the ISPRS. Results indicate that aggregation of dense point cloud into higher-level object analogue (e.g. supervoxels) before 3D segmentation stage offers superior labelling results and best computational performance compared to the popular surface growing-based approaches.",3,,,37,,,"W1556183415, W1850971971, W1966473396, W1968194344, W1973644502, W1975030698, W1981994935, W1994699846, W2001563151, W2018839022, W2046963292, W2050690116, W2053395988, W2053802831, W2071997121, W2073015676, W2074658631, W2077264955, W2085604769, W2102402541, W2104525659, W2133916729, W2135249503, W2148868685, W2157685395, W2171592532, W2427881153, W2470269552, W2480826066, W2651598648, W2911964244, W308686773, W4213215721, W4236965008, W4255243782, W4285719527, W4301950487"
W2770909156,10.1016/J.FUTURE.2017.11.007,603,article,A versatile data-intensive computing platform for information retrieval from big geospatial data,"Pierre Soille, Armin Burger, Davide De Marchi, Pieter Kempeneers, Dario Rodríguez, Vasileios Syrris, V. E. Vasilev",Future generation computer systems (Elsevier BV),2018,01/04/2018,81,,30,40,"The increasing amount of free and open geospatial data of interest to major societal questions calls for the development of innovative data-intensive computing platforms for the efficient and effective extraction of information from these data. This paper proposes a versatile petabyte-scale platform based on commodity hardware and equipped with open-source software for the operating system, the distributed file system, and the task scheduler for batch processing as well as the containerization of user specific applications. Interactive visualization and processing based on deferred processing are also proposed. The versatility of the proposed platform is illustrated with a series of applications together with their performance metrics.",107,4,,39,"W2928704020, W2956102956, W4200392624, W4225405889",,"W1561442812, W1959671196, W1974070499, W1981213426, W1984670836, W1987161776, W2009619252, W2013486114, W2024689500, W2035596487, W2042818213, W2056435747, W2061939373, W2065350935, W2072895218, W2104892386, W2113511027, W2124032926, W2141992894, W2148317584, W2157675604, W2160434086, W2167423485, W2170711144, W2188083314, W2212330699, W2269714094, W2286596378, W2296335794, W2376136095, W2474784204, W2549557132, W2560167313, W2593852290, W2598259193, W2605433586, W2725897987, W2726746478, W2773484054"
